cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,428,1444.51%,4333.55,1y 57d 6h 6m,1y 57d 6h 6m
ADAUSDT Perpetual,849,1383.27%,165.99,64d 5h,64d 5h
ETHUSDT Perpetual,194,1329.38%,3988.17,1y 57d 6h 27m,1y 57d 6h 27m
DOGEUSDT Perpetual,72,1026.07%,178.54,1y 2d 21h 31m,1y 2d 21h 31m
CHZUSDT Perpetual,17,964.32%,2462.40,1y 30d 20h 27m,1y 30d 20h 27m
ETHUSDT Perpetual,9,901.26%,2226.13,1y 56d 12h 39m,1y 56d 12h 39m
BAKEUSDT Perpetual,17,900.80%,90.08,50d 21h 11m,50d 21h 11m
TRXUSDT Perpetual,51,884.22%,185.69,157d 6h 14m,157d 6h 14m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 6h 49m,351d 6h 49m
ANKRUSDT Perpetual,11,775.65%,77.57,322d 15h 48m,322d 15h 48m
ETHUSDT Perpetual,0,775.63%,2109.74,1y 55d 21h 39m,1y 55d 21h 39m
UNFIUSDT Perpetual,65,752.16%,150.43,31d 2h 24m,31d 2h 24m
XMRUSDT Perpetual,7,735.07%,4410.47,160d 8h 25m,160d 8h 25m
BTCUSDT Perpetual,36,640.73%,44.85,1y 34d 14h 11m,1y 34d 14h 11m
XMRUSDT Perpetual,0,633.53%,1267.08,1y 27d 43m,1y 27d 43m
MATICUSDT Perpetual,2,612.24%,42.18,44d 17h 20m,44d 17h 20m
API3USDT Perpetual,19,596.07%,119.21,39d 18h 45m,39d 18h 45m
UNIUSDT Perpetual,0,525.18%,1643.82,1y 29d 20h 13m,1y 29d 20h 13m
BTCUSDT Perpetual,6,514.81%,139.00,23d 12h 20m,23d 12h 20m
BTCUSDT Perpetual,10,514.61%,138.95,23d 12h 19m,23d 12h 19m
CRVUSDT Perpetual,0,502.72%,235.28,32d 22h 11m,32d 22h 11m
GMTUSDT Perpetual,9,491.50%,29.49,19d 2h 9m,19d 2h 9m
BTCUSDT Perpetual,4,448.33%,224.17,1y 88d 17h 21m,1y 88d 17h 21m
LTCUSDT Perpetual,1,444.14%,1328.00,1y 29d 20h 11m,1y 29d 20h 11m
PEOPLEUSDT Perpetual,10,415.96%,34.40,45d 8m,45d 8m
ZECUSDT Perpetual,0,414.75%,207.38,141d 8h 40m,141d 8h 40m
KNCUSDT Perpetual,3,407.18%,407.19,23d 12h 4m,23d 12h 4m
BTCUSDT Perpetual,7,401.35%,266.18,31d 12h 39m,31d 12h 39m
ZRXUSDT Perpetual,9,371.74%,18.59,17d 16h 27m,17d 16h 27m
ADAUSDT Perpetual,1,364.64%,24.58,64d 7h 10m,64d 7h 10m
LTCUSDT Perpetual,0,360.53%,93.27,247d 15h 34m,247d 15h 34m
KNCUSDT Perpetual,0,360.47%,901.20,1y 71d 5h 46m,1y 71d 5h 46m
BLZUSDT Perpetual,0,359.75%,107.93,155d 19h 59m,155d 19h 59m
LINKUSDT Perpetual,1,359.31%,290.33,63d 23h 9m,63d 23h 9m
ETHUSDT Perpetual,0,336.74%,30.31,20d 22h 46m,20d 22h 46m
ETHUSDT Perpetual,2,329.62%,52.74,20d 5h 9m,20d 5h 9m
APEUSDT Perpetual,0,328.88%,32.89,17d 4h 52m,17d 4h 52m
EOSUSDT Perpetual,0,327.46%,654.93,32d 11h 52m,32d 11h 52m
TRXUSDT Perpetual,2,319.04%,408.38,179d 3h 53m,179d 3h 53m
EOSUSDT Perpetual,2,313.98%,94.20,16d 20h 27m,16d 20h 27m
TRXUSDT Perpetual,0,313.00%,156.50,104d 20h 41m,104d 20h 41m
DOTUSDT Perpetual,0,310.52%,16.36,30d 15m,30d 15m
ARUSDT Perpetual,0,309.76%,278.79,141d 8h 44m,141d 8h 44m
AVAXUSDT Perpetual,0,307.43%,676.35,239d 18h 38m,239d 18h 38m
XEMUSDT Perpetual,28,306.14%,61.23,12d 8h 52m,12d 8h 52m
1000SHIBUSDT Perpetual,5,304.98%,30.50,20d 17h 13m,20d 17h 13m
ETHBUSD Perpetual,3,301.78%,5.58,19d 11h 18m,19d 11h 18m
SNXUSDT Perpetual,47,301.56%,18.34,24d 15h 6m,24d 15h 6m
DOTUSDT Perpetual,2,297.71%,899.11,64d 22h 15m,64d 22h 15m
TRBUSDT Perpetual,5,297.01%,152.82,34d 20h 35m,34d 20h 35m
SOLUSDT Perpetual,3,295.40%,24.43,27d 17h 55m,27d 17h 55m
GMTUSDT Perpetual,7,292.30%,438.45,15d 23h 27m,15d 23h 27m
UNIUSDT Perpetual,0,285.90%,48.60,62d 2h 51m,62d 2h 51m
ALPHAUSDT Perpetual,1,281.81%,7.61,24d 40m,24d 40m
ETHUSDT Perpetual,10,280.76%,40.06,32d 29m,32d 29m
JASMYUSDT Perpetual,0,275.40%,13.22,31d 16h 37m,31d 16h 37m
TLMBUSD Perpetual,1,273.98%,410.97,29d 6h 25m,29d 6h 25m
KSMUSDT Perpetual,0,270.29%,454.09,33d 17h 57m,33d 17h 57m
AXSUSDT Perpetual,2,267.34%,140.52,25d 12h 37m,25d 12h 37m
LINKUSDT Perpetual,0,261.29%,1306.49,66d 8h 54m,66d 8h 54m
MASKUSDT Perpetual,0,255.77%,511.54,24d 10h,24d 10h
1000XECUSDT Perpetual,1,254.91%,12.75,22d 7h 48m,22d 7h 48m
BTCBUSD Perpetual,17,253.73%,20.73,27d 3h 38m,27d 3h 38m
IOSTUSDT Perpetual,2,251.89%,14.11,31d 17h 44m,31d 17h 44m
APEBUSD Perpetual,1,251.44%,4.90,19d 11h 20m,19d 11h 20m
BTSUSDT Perpetual,1,250.48%,252.99,54d 11h 42m,54d 11h 42m
