cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,434,1443.55%,4330.67,1y 57d 13h 6m,1y 57d 13h 6m
ADAUSDT Perpetual,864,1389.64%,166.76,64d 12h,64d 12h
ETHUSDT Perpetual,194,1330.36%,3991.09,1y 57d 13h 27m,1y 57d 13h 27m
DOGEUSDT Perpetual,72,1025.57%,178.45,1y 3d 4h 31m,1y 3d 4h 31m
CHZUSDT Perpetual,17,955.33%,2439.45,1y 31d 3h 27m,1y 31d 3h 27m
ETHUSDT Perpetual,9,902.35%,2228.81,1y 56d 19h 39m,1y 56d 19h 39m
TRXUSDT Perpetual,53,883.05%,185.44,157d 13h 14m,157d 13h 14m
BAKEUSDT Perpetual,17,858.42%,85.84,51d 4h 11m,51d 4h 11m
ALICEUSDT Perpetual,11,819.16%,737.25,351d 13h 49m,351d 13h 49m
ETHUSDT Perpetual,0,776.57%,2112.28,1y 56d 4h 40m,1y 56d 4h 40m
ANKRUSDT Perpetual,11,775.17%,77.52,322d 22h 48m,322d 22h 48m
XMRUSDT Perpetual,7,738.18%,4429.09,160d 15h 25m,160d 15h 25m
UNFIUSDT Perpetual,66,733.44%,146.69,31d 9h 24m,31d 9h 24m
BTCUSDT Perpetual,36,640.73%,44.85,1y 34d 21h 11m,1y 34d 21h 11m
XMRUSDT Perpetual,0,640.52%,1281.04,1y 27d 7h 44m,1y 27d 7h 44m
MATICUSDT Perpetual,2,621.69%,42.83,45d 20m,45d 20m
API3USDT Perpetual,19,607.14%,121.43,40d 1h 45m,40d 1h 45m
BTCUSDT Perpetual,6,521.62%,140.84,23d 19h 20m,23d 19h 20m
BTCUSDT Perpetual,11,521.07%,140.69,23d 19h 20m,23d 19h 20m
UNIUSDT Perpetual,0,514.30%,1609.78,1y 30d 3h 13m,1y 30d 3h 13m
CRVUSDT Perpetual,0,502.72%,235.28,33d 5h 11m,33d 5h 11m
BTCUSDT Perpetual,4,447.87%,223.94,1y 89d 21m,1y 89d 21m
LTCUSDT Perpetual,1,444.73%,1329.75,1y 30d 3h 11m,1y 30d 3h 11m
GMTUSDT Perpetual,11,432.58%,25.95,19d 9h 9m,19d 9h 9m
KNCUSDT Perpetual,3,413.56%,413.57,23d 19h 4m,23d 19h 4m
ZECUSDT Perpetual,0,410.17%,205.09,141d 15h 40m,141d 15h 40m
PEOPLEUSDT Perpetual,10,404.41%,33.45,45d 7h 8m,45d 7h 8m
BTCUSDT Perpetual,7,398.40%,264.23,31d 19h 39m,31d 19h 39m
ADAUSDT Perpetual,1,363.69%,24.51,64d 14h 10m,64d 14h 10m
KNCUSDT Perpetual,0,362.88%,907.21,1y 71d 12h 46m,1y 71d 12h 46m
LTCUSDT Perpetual,0,360.53%,93.27,247d 22h 34m,247d 22h 34m
LINKUSDT Perpetual,1,349.99%,282.79,64d 6h 9m,64d 6h 9m
BLZUSDT Perpetual,0,347.12%,104.14,156d 2h 59m,156d 2h 59m
ZRXUSDT Perpetual,9,342.99%,17.15,17d 23h 27m,17d 23h 27m
ETHUSDT Perpetual,2,337.22%,53.96,20d 12h 9m,20d 12h 9m
ETHUSDT Perpetual,0,336.74%,30.31,21d 5h 46m,21d 5h 46m
EOSUSDT Perpetual,0,322.29%,644.59,32d 18h 52m,32d 18h 52m
TRXUSDT Perpetual,2,317.90%,406.92,179d 10h 53m,179d 10h 53m
GMTUSDT Perpetual,7,315.94%,473.92,16d 6h 27m,16d 6h 27m
EOSUSDT Perpetual,2,314.74%,94.42,17d 3h 27m,17d 3h 27m
APEUSDT Perpetual,0,312.64%,31.26,17d 11h 52m,17d 11h 52m
TRXUSDT Perpetual,0,311.93%,155.97,105d 3h 41m,105d 3h 41m
1000SHIBUSDT Perpetual,5,311.06%,31.11,21d 13m,21d 13m
TRBUSDT Perpetual,5,307.95%,158.44,35d 3h 35m,35d 3h 35m
AVAXUSDT Perpetual,0,307.43%,676.35,240d 1h 38m,240d 1h 38m
ARUSDT Perpetual,0,305.66%,275.10,141d 15h 44m,141d 15h 44m
ETHBUSD Perpetual,3,302.33%,5.59,19d 18h 18m,19d 18h 18m
ALPHAUSDT Perpetual,1,297.04%,8.02,24d 7h 40m,24d 7h 40m
SOLUSDT Perpetual,3,295.40%,24.43,28d 55m,28d 55m
SNXUSDT Perpetual,47,293.42%,17.84,24d 22h 6m,24d 22h 6m
